id,name,abbreviation,displayName,location,color,alternateColor
564,,MID,Mid-Continent Colleg,Mid-Continent Colleg,,
565,Warriors,MID,Midland University Warriors,Midland University,000000,
568,Beavers,MNT,Minot State Beavers,Minot State,000000,
569,Lights,MJT,Montana State-Northern Lights,Montana State-Northern,000000,
571,Hornets,MOR,Morris College Hornets,Morris College,,
573,Lancers,MTM,Mount Marty Lancers,Mount Marty,,
576,Cougars,MVN,Mount Vernon Nazarene Cougars,Mount Vernon Nazarene,,
577,Cougars,MZS,Mountain State University Cougars,Mountain State University,,
580,Jets,NEW,Newman Jets,Newman,,
584,Seahawks,NWD,Northwood (FL) Seahawks,Northwood (FL),,
585,Knights,NORT,Northwood University Knights,Northwood University,,
587,Falcons,NOT,Notre Dame College Falcons,Notre Dame College,000000,
589,Eagles,OKL,Oklahoma Christian Eagles,Oklahoma Christian,,
590,Eagles,OW,Oklahoma Wesleyan Un Eagles,Oklahoma Wesleyan Un,,
594,Pioneers,PAC,Pacific Union Pioneers,Pacific Union,,
596,Bobcats,PER,Peru State College Bobcats,Peru State College,,
597,Saints,PRES,Presentation College Saints,Presentation College,000000,
598,Panthers,PNC,Purdue-North Central Panthers,Purdue-North Central,,
599,Eagles,RM,Robert Morris (IL) Eagles,Robert Morris (IL),000000,
603,Spires,SAI,Saint Mary Spires,Saint Mary,,
606,Bobcats,STFA,Saint Thomas Univers Bobcats,Saint Thomas Univers,,
608,Devils,USCI,University of Sciences Devils,University of Sciences,,
612,Red Hawks,SIM,Simpson University Red Hawks,Simpson University,,
613,Hardrockers,SDT,South Dakota School of Mines Hardrockers,South Dakota School of Mines,000000,
614,Hornets,SPS,Southern Polytechnic Hornets,Southern Polytechnic,,
616,Moundbuilders,SW,Southwestern College Moundbuilders,Southwestern College,000000,
618,,STE,Sterling College,Sterling College,000000,
619,Tabor,TABOR,Tabor Tabor,Tabor,000000,
620,Trojans,TAY,Taylor University Trojans,Taylor University,000000,
628,Vikings,VC,Valley City State Vikings,Valley City State,000000,
630,Pioneers,WAYB,Wayland Baptist University Pioneers,Wayland Baptist University,,
